Date,DayOfWeek,Open,Promo,StateHoliday,SchoolHoliday
2015-08-01,6,1,0,0,1
2015-08-02,7,0,0,0,1
2015-08-03,1,1,1,0,1
2015-08-04,2,1,1,0,1
2015-08-05,3,1,1,0,1
2015-08-06,4,1,1,0,1
2015-08-07,5,1,1,0,1
2015-08-08,6,1,0,0,1
2015-08-09,7,0,0,0,1
2015-08-10,1,1,0,0,1
2015-08-11,2,1,0,0,1
2015-08-12,3,1,0,0,1
2015-08-13,4,1,0,0,1
2015-08-14,5,1,0,0,1
2015-08-15,6,1,0,0,1
2015-08-16,7,0,0,0,1
2015-08-17,1,1,1,0,1
2015-08-18,2,1,1,0,1
2015-08-19,3,1,1,0,1
2015-08-20,4,1,1,0,1
2015-08-21,5,1,1,0,1
2015-08-22,6,1,0,0,1
2015-08-23,7,0,0,0,1
2015-08-24,1,1,0,0,1
2015-08-25,2,1,0,0,1
2015-08-26,3,1,0,0,1
2015-08-27,4,1,0,0,1
2015-08-28,5,1,0,0,1
2015-08-29,6,1,0,0,1
2015-08-30,7,0,0,0,1
2015-08-31,1,1,1,0,1
2015-09-01,2,1,1,0,1
2015-09-02,3,1,1,0,1
2015-09-03,4,1,1,0,1
2015-09-04,5,1,1,0,1
2015-09-05,6,1,0,0,0
2015-09-06,7,0,0,0,0
2015-09-07,1,1,0,0,0
2015-09-08,2,1,0,0,0
2015-09-09,3,1,0,0,0
2015-09-10,4,1,0,0,0
2015-09-11,5,1,0,0,0
2015-09-12,6,1,0,0,0
2015-09-13,7,0,0,0,0
2015-09-14,1,1,1,0,0
2015-09-15,2,1,1,0,0
2015-09-16,3,1,1,0,0
2015-09-17,4,1,1,0,0
