ds,holiday
2013-01-01,state_holiday
2013-01-01,school_holiday
2013-01-02,school_holiday
2013-01-03,school_holiday
2013-01-04,school_holiday
2013-01-05,school_holiday
2013-01-06,school_holiday
2013-01-07,school_holiday
2013-01-08,school_holiday
2013-01-09,school_holiday
2013-01-10,school_holiday
2013-01-11,school_holiday
2013-03-25,school_holiday
2013-03-26,school_holiday
2013-03-27,school_holiday
2013-03-28,school_holiday
2013-03-29,school_holiday
2013-04-01,school_holiday
2013-04-02,school_holiday
2013-04-03,school_holiday
2013-04-04,school_holiday
2013-04-05,school_holiday
2013-05-01,state_holiday
2013-05-09,state_holiday
2013-05-20,state_holiday
2013-05-30,state_holiday
2013-07-06,school_holiday
2013-07-07,school_holiday
2013-07-08,school_holiday
2013-07-09,school_holiday
2013-07-10,school_holiday
2013-07-11,school_holiday
2013-07-12,school_holiday
2013-07-13,school_holiday
2013-07-14,school_holiday
2013-07-15,school_holiday
2013-07-16,school_holiday
2013-07-17,school_holiday
2013-07-18,school_holiday
2013-07-19,school_holiday
2013-07-20,school_holiday
2013-07-21,school_holiday
2013-07-22,school_holiday
2013-07-23,school_holiday
2013-07-24,school_holiday
2013-07-25,school_holiday
2013-07-26,school_holiday
2013-07-27,school_holiday
2013-07-28,school_holiday
2013-07-29,school_holiday
2013-07-30,school_holiday
2013-07-31,school_holiday
2013-08-01,school_holiday
2013-08-02,school_holiday
2013-08-03,school_holiday
2013-08-04,school_holiday
2013-08-05,school_holiday
2013-08-06,school_holiday
2013-08-07,school_holiday
2013-08-08,school_holiday
2013-08-09,school_holiday
2013-08-10,school_holiday
2013-08-11,school_holiday
2013-08-12,school_holiday
2013-08-13,school_holiday
2013-08-14,school_holiday
2013-08-15,school_holiday
2013-08-16,school_holiday
2013-10-03,state_holiday
2013-10-14,school_holiday
2013-10-15,school_holiday
2013-10-16,school_holiday
2013-10-17,school_holiday
2013-10-18,school_holiday
2013-10-19,school_holiday
2013-10-20,school_holiday
2013-10-21,school_holiday
2013-10-22,school_holiday
2013-10-23,school_holiday
2013-10-24,school_holiday
2013-10-25,school_holiday
2013-12-23,school_holiday
